age,blockNum,center,colormap,completionCode,correct,correlation,currentOffsets,distance,education,engagementCorrect,gender,generationTime,modelChoice,noiseAmplitude,noisePerturb,noisePerturbCount,prolificId,responseTime,selectedDecoyType,selection,stimulusCorrect,stimulusNum,trialNum,vis,subjectid
35-44,11,0.098716,Hue-3 with Wave-2,,1,0,2.9275678782354664,0.0561137212229005,high_school,3,male,1922,2,1.1,1.9,1,5bcd315d0f10750001d7f22e,5601,1,6,77,19,1,fieldSmooth,2
35-44,11,0.098716,Hue-3 with Wave-2,,1,0,2.9275678782354664,0.069183590139362,high_school,3,male,1167,1,1.1,1.9,1,5bcd315d0f10750001d7f22e,12390,0,3,77,20,2,fieldSmooth,2
35-44,12,0.098716,Hue-0 with Wave-8,,1,0,0.0,0.1127644827504056,high_school,3,male,1135,1,1.1,1.9,1,5bcd315d0f10750001d7f22e,4824,0,3,77,21,1,fieldSmooth,2
35-44,12,0.098716,Hue-0 with Wave-8,,1,0,0.0,0.1080801226787154,high_school,3,male,1003,1,1.1,1.9,1,5bcd315d0f10750001d7f22e,4810,0,4,77,22,2,fieldSmooth,2
35-44,13,0.098716,Hue-3 with Wave-1,,1,0,2.9275678782354664,0.0612490551517104,high_school,3,male,1447,1,1.1,1.9,1,5bcd315d0f10750001d7f22e,5334,0,4,77,23,1,fieldSmooth,2
35-44,13,0.098716,Hue-3 with Wave-1,,1,0,2.9275678782354664,0.0870102302635971,high_school,3,male,1145,2,1.1,1.9,1,5bcd315d0f10750001d7f22e,10562,1,3,77,24,2,fieldSmooth,2
35-44,14,0.098716,Hue-7 with Wave-3,,1,0,47.19109842023962,0.1048420764123966,high_school,3,male,1420,1,1.1,1.9,1,5bcd315d0f10750001d7f22e,7807,0,1,77,25,1,fieldSmooth,2
35-44,14,0.098716,Hue-7 with Wave-3,,1,0,47.19109842023962,0.0952061675600845,high_school,3,male,1131,1,1.1,1.9,1,5bcd315d0f10750001d7f22e,3877,0,2,77,26,2,fieldSmooth,2
35-44,15,0.098716,Hue-5 with Wave-6,,1,0,8.478160530821302,0.0806080090549829,high_school,3,male,1594,1,1.1,1.9,1,5bcd315d0f10750001d7f22e,4096,0,4,77,27,1,fieldSmooth,2
35-44,15,0.098716,Hue-5 with Wave-6,,1,0,8.478160530821302,0.056358971693209,high_school,3,male,1532,1,1.1,1.9,1,5bcd315d0f10750001d7f22e,14915,0,2,77,28,2,fieldSmooth,2
35-44,16,0.098716,Hue-3 with Wave-5,,1,0,2.9275678782354664,0.0575712182808366,high_school,3,male,2211,1,1.1,1.9,1,5bcd315d0f10750001d7f22e,3461,0,4,77,29,1,fieldSmooth,2
35-44,16,0.098716,Hue-3 with Wave-5,,1,0,2.9275678782354664,0.0970090488175032,high_school,3,male,1054,1,1.1,1.9,1,5bcd315d0f10750001d7f22e,4463,0,6,77,30,2,fieldSmooth,2
35-44,17,0.098716,Hue-7 with Wave-6,,1,0,47.19109842023962,0.0855670517386058,high_school,3,male,1507,1,1.1,1.9,1,5bcd315d0f10750001d7f22e,8032,0,2,77,31,1,fieldSmooth,2
35-44,17,0.098716,Hue-7 with Wave-6,,1,0,47.19109842023962,0.0934415521256612,high_school,3,male,1309,1,1.1,1.9,1,5bcd315d0f10750001d7f22e,51418,0,5,77,32,2,fieldSmooth,2
35-44,19,0.098716,Hue-0 with Wave-3,,1,0,0.0,0.0527384937145129,high_school,3,male,1484,2,1.1,1.9,1,5bcd315d0f10750001d7f22e,3711,1,3,77,33,1,fieldSmooth,2
35-44,19,0.098716,Hue-0 with Wave-3,,1,0,0.0,0.0980093746602235,high_school,3,male,1216,1,1.1,1.9,1,5bcd315d0f10750001d7f22e,7884,0,2,77,34,2,fieldSmooth,2
35-44,20,0.098716,Hue-3 with Wave-4,,1,0,2.9275678782354664,0.0614672899930818,high_school,3,male,1521,2,1.1,1.9,1,5bcd315d0f10750001d7f22e,3986,1,6,77,35,1,fieldSmooth,2
35-44,20,0.098716,Hue-3 with Wave-4,,1,0,2.9275678782354664,0.0856930705395625,high_school,3,male,1203,1,1.1,1.9,1,5bcd315d0f10750001d7f22e,8689,0,1,77,36,2,fieldSmooth,2
35-44,21,0.098716,Hue-7 with Wave-1,,1,0,47.19109842023962,0.0935783871178368,high_school,3,male,1322,1,1.1,1.9,1,5bcd315d0f10750001d7f22e,5908,0,4,77,37,1,fieldSmooth,2
35-44,21,0.098716,Hue-7 with Wave-1,,1,0,47.19109842023962,0.083966651631908,high_school,3,male,1191,1,1.1,1.9,1,5bcd315d0f10750001d7f22e,5151,0,4,77,38,2,fieldSmooth,2
35-44,22,0.098716,Hue-0 with Wave-9,,1,0,0.0,0.1009525135443593,high_school,3,male,1300,1,1.1,1.9,1,5bcd315d0f10750001d7f22e,2749,0,4,77,39,1,fieldSmooth,2
35-44,22,0.098716,Hue-0 with Wave-9,,1,0,0.0,0.1367188287408199,high_school,3,male,1008,2,1.1,1.9,1,5bcd315d0f10750001d7f22e,16511,1,1,77,40,2,fieldSmooth,2
35-44,23,0.098716,Hue-3 with Wave-0,,1,0,2.9275678782354664,0.0798195929267583,high_school,3,male,1180,2,1.1,1.9,1,5bcd315d0f10750001d7f22e,4558,1,3,77,41,1,fieldSmooth,2
35-44,23,0.098716,Hue-3 with Wave-0,,1,0,2.9275678782354664,0.0556287939378978,high_school,3,male,1066,2,1.1,1.9,1,5bcd315d0f10750001d7f22e,16428,1,4,77,42,2,fieldSmooth,2
35-44,24,0.098716,Hue-7 with Wave-2,,1,0,47.19109842023962,0.1135140270585628,high_school,3,male,1385,1,1.1,1.9,1,5bcd315d0f10750001d7f22e,8385,0,2,77,43,1,fieldSmooth,2
35-44,24,0.098716,Hue-7 with Wave-2,,1,0,47.19109842023962,0.0639395982181802,high_school,3,male,1341,2,1.1,1.9,1,5bcd315d0f10750001d7f22e,7831,1,4,77,44,2,fieldSmooth,2
35-44,25,0.098716,Hue-5 with Wave-7,,1,0,8.478160530821302,0.0834704465312208,high_school,3,male,1371,1,1.1,1.9,1,5bcd315d0f10750001d7f22e,11903,0,4,77,45,1,fieldSmooth,2
